 109, 19, 580917630
 109, 19, 580917630
 109, 19, 580917630
 109, 21, 580918972
 109, 22, 580918987
 108, 22, 580918987
 106, 24, 580919003
 103, 28, 580919034
 102, 30, 580919034
 101, 31, 580919034
 101, 32, 580919050
 101, 33, 580919050
 101, 34, 580919065
 101, 35, 580919065
 101, 37, 580919081
 101, 38, 580919081
 101, 41, 580919097
 101, 43, 580919097
 101, 46, 580919112
 101, 49, 580919112
 104, 51, 580919128
 106, 55, 580919128
 110, 57, 580919143
 116, 60, 580919143
 123, 63, 580919159
 130, 66, 580919159
 137, 68, 580919175
 145, 71, 580919175
 153, 74, 580919190
 162, 76, 580919190
 170, 79, 580919206
 179, 81, 580919206
 187, 83, 580919221
 194, 85, 580919221
 200, 87, 580919237
 206, 89, 580919237
 209, 90, 580919253
 211, 90, 580919268
 212, 91, 580919268
 213, 91, 580919284
 213, 92, 580919284
 214, 92, 580919331
 215, 92, 580919362
 215, 93, 580919377
 216, 94, 580919393
 216, 95, 580919393
 216, 96, 580919955
 218, 96, 580920095
 222, 97, 580920111
 228, 100, 580920111
 237, 104, 580920126
 248, 110, 580920126
 261, 115, 580920142
 274, 125, 580920142
 287, 137, 580920157
 307, 152, 580920173
 328, 170, 580920173
 348, 187, 580920189
 372, 209, 580920189
 399, 236, 580920204
 523, 354, 580920235
 565, 402, 580920235
 606, 448, 580920235
 638, 487, 580920251
 662, 521, 580920251
 683, 549, 580920267
 700, 574, 580920267
 718, 597, 580920282
 731, 614, 580920282
 742, 631, 580920298
 748, 643, 580920298
 750, 649, 580920313
 751, 652, 580920313
 751, 655, 580920329
 751, 657, 580920329
 751, 659, 580920345
 751, 660, 580920345
 751, 661, 580920360
 751, 662, 580920953
 751, 663, 580920969
 751, 664, 580920969
 751, 665, 580920984
 750, 664, 580921093
 746, 661, 580921093
 742, 658, 580921109
 734, 655, 580921125
 726, 653, 580921125
 717, 650, 580921140
 707, 648, 580921140
 698, 644, 580921156
 688, 641, 580921156
 678, 638, 580921171
 669, 635, 580921171
 661, 631, 580921187
 653, 628, 580921187
 646, 624, 580921203
 640, 621, 580921203
 634, 617, 580921218
 628, 614, 580921218
